chromosomeLength optimizedParameter 0,60maxF 0,70maxF 0,80maxF 0,90maxF 0,95maxF 0,98maxF 0,99maxF 1,00maxF 0,60%suc 0,70%suc 0,80%suc 0,90%suc 0,95%suc 0,98%suc 0,99%suc 1,00%suc
400 -0,25 428,0 1362,7 2716,7 5046,8 6986,8 9083,1 10391,4 14993,0 100 100 100 100 100 100 100 100
400 -0,5 388,2 1206,2 2553,9 4838,4 6724,4 8827,3 9806,9 13628,9 100 100 100 100 100 100 100 100
400 -0,75 355,2 1258,1 2539,6 4664,2 6396,5 8370,3 9531,1 12737,7 100 100 100 100 100 100 100 100
400 -1 360,9 1230,8 2524,9 4639,6 6410,8 8099,6 9165,6 13537,3 100 100 100 100 100 100 100 100
400 0,25 321,9 993,9 2166,7 4083,3 5802,7 7664,0 8703,0 13848,9 100 100 100 100 100 100 100 100
400 0,5 266,9 813,1 1829,9 3800,8 5906,0 9578,6 12285,5 26358,3 100 100 100 100 100 100 100 100
400 0,75 207,5 695,8 1851,6 4300,0 7018,7 12412,9 16735,1 29413,3 100 100 100 100 100 100 100 90
400 0,9 177,1 909,1 2999,4 6810,6 11226,6 18079,3 22647,8 32213,7 100 100 100 100 100 100 100 100
800 0 1989,7 7434,5 17367,4 35480,9 56726,1 89194,0 129384,6 -1,0 100 100 100 100 100 100 100 0
800 -0,02 1671,3 5932,2 13874,7 30395,3 46591,7 71656,9 95417,1 -1,0 100 100 100 100 100 100 100 0
800 -0,05 1074,8 3686,7 8947,2 19922,7 29876,7 42165,0 52152,3 96214,7 100 100 100 100 100 100 100 100
800 -0,1 838,6 2703,3 6214,8 13105,6 18599,7 23971,1 27770,5 42078,8 100 100 100 100 100 100 100 100
800 -0,25 746,3 2303,2 5301,7 11204,2 15667,2 20233,9 22995,9 34316,9 100 100 100 100 100 100 100 100
800 -0,5 667,3 2272,3 5185,2 10278,3 14787,9 19160,4 21585,4 34658,3 100 100 100 100 100 100 100 100
800 -0,75 699,7 2124,2 4866,5 10273,2 14512,2 18780,7 21870,1 32607,4 100 100 100 100 100 100 100 100
800 -1 684,1 2133,7 4947,3 10183,2 14378,7 18757,8 21126,3 29883,9 100 100 100 100 100 100 100 100
800 0,25 513,4 1773,7 4427,2 9254,0 13043,3 17553,2 20898,2 38440,2 100 100 100 100 100 100 100 100
800 0,5 476,9 1643,8 4391,9 9037,4 13037,9 19531,0 26585,0 55256,9 100 100 100 100 100 100 100 90
800 0,75 389,7 1534,1 4756,0 10214,8 16989,5 27113,6 35948,9 72168,0 100 100 100 100 100 100 100 80
800 0,9 374,1 2717,8 7099,3 14591,0 22816,8 35405,7 46586,7 87937,5 100 100 100 100 100 100 100 80
